# 複合語一覧 (3,357 語) — V1_expand_vow: 拡張: slot 2 (V_a) に 'i' 追加 → [o, y, i]
# 形式: [N基] 元語  ->  base1 + base2 + ...

[3基] raral  ->  r + a + ral
[4基] raraldy  ->  r + a + ra + ldy
[3基] raram  ->  r + a + ram
[4基] rarolchl  ->  r + a + r + olchl
[3基] raroshy  ->  r + a + roshy
[4基] rchealcham  ->  r + c + hea + lcham
[4基] rcheetey  ->  r + c + hee + tey
[4基] rcheold  ->  r + c + he + old
[4基] rchseesy  ->  r + c + h + seesy
[4基] rfchykchey  ->  r + f + c + hykchey
[4基] rokaix  ->  r + o + kai + x
[2基] rolchedy  ->  r + olchedy
[2基] rolchey  ->  r + olchey
[2基] rolchy  ->  r + olchy
[2基] rolkam  ->  r + olkam
[2基] rolkeedy  ->  r + olkeedy
[2基] rolkeey  ->  r + olkeey
[2基] roloty  ->  r + oloty
[2基] rolsheedy  ->  r + olsheedy
[2基] rolshey  ->  r + olshey
[2基] rshdy  ->  r + shdy
[2基] rsheal  ->  r + sheal
[2基] rshed  ->  r + shed
[2基] rshedy  ->  r + shedy
[2基] rsheedar  ->  r + sheedar
[2基] rsheedy  ->  r + sheedy
[2基] rsheodor  ->  r + sheodor
[2基] rsheol  ->  r + sheol
[2基] rshey  ->  r + shey
[3基] sachy  ->  s + a + chy
[4基] sacthhy  ->  s + a + cth + hy
[4基] saiichor  ->  s + a + i + ichor
[4基] saiinchy  ->  s + a + iin + chy
[4基] saiindy  ->  s + a + iin + dy
[4基] saiirol  ->  s + a + i + irol
[4基] saimchy  ->  s + a + im + chy
[4基] sainn  ->  s + a + in + n
[3基] sairal  ->  s + a + iral
[3基] sairaly  ->  s + a + iraly
[3基] sairn  ->  s + a + irn
[3基] sairol  ->  s + a + irol
[3基] sairom  ->  s + a + irom
[3基] sairor  ->  s + a + iror
[4基] saithy  ->  s + a + it + hy
[3基] sakaiin  ->  s + a + kaiin
[3基] sakar  ->  s + a + kar
[3基] salal  ->  s + a + lal
[3基] salar  ->  s + a + lar
[3基] salched  ->  s + a + lched
[3基] salchedal  ->  s + a + lchedal
[3基] salchedy  ->  s + a + lchedy
[3基] saldaiin  ->  s + a + ldaiin
[3基] saldal  ->  s + a + ldal
[3基] saldam  ->  s + a + ldam
[3基] saldy  ->  s + a + ldy
[3基] salkeedy  ->  s + a + lkeedy
[3基] saloiin  ->  s + a + loiin
[3基] salol  ->  s + a + lol
[3基] salols  ->  s + a + lols
[4基] salshcthdy  ->  s + a + l + shcthdy
[3基] salsoiin  ->  s + a + lsoiin
[3基] saltar  ->  s + a + ltar
[3基] saltedy  ->  s + a + ltedy
[3基] salxar  ->  s + a + lxar
[4基] samchorly  ->  s + am + c + horly
[4基] sandy  ->  s + a + n + dy
[3基] saraiin  ->  s + a + raiin
[3基] saraiir  ->  s + a + raiir
[3基] sarain  ->  s + a + rain
[3基] saraisl  ->  s + a + raisl
[3基] saral  ->  s + a + ral
[3基] saram  ->  s + a + ram
[3基] sarar  ->  s + a + rar
[3基] sarg  ->  s + a + rg
[3基] sarol  ->  s + a + rol
[3基] saroldal  ->  s + a + roldal
[3基] sarols  ->  s + a + rols
[3基] sarydy  ->  s + a + rydy
[3基] satar  ->  s + a + tar
[3基] sayfchedy  ->  s + a + yfchedy
[4基] scharchy  ->  s + c + ha + rchy
[4基] schocthhy  ->  s + c + hocth + hy
[3基] schodchy  ->  s + c + hodchy
[3基] schokey  ->  s + c + hokey
[3基] schold  ->  s + c + hold
[3基] schoshe  ->  s + c + hoshe
[3基] scsedy  ->  s + c + sedy
[4基] scseykcheol  ->  s + c + se + ykcheol
[3基] secheeol  ->  s + e + cheeol
[4基] seeder  ->  s + e + e + der
[4基] seekey  ->  s + e + e + key
[3基] seokol  ->  s + e + okol
[4基] shaikhhy  ->  s + haik + h + hy
[4基] shaikhy  ->  s + h + aik + hy
[4基] shaldy  ->  s + h + a + ldy
[4基] shalkaiin  ->  s + h + a + lkaiin
[4基] shalkl  ->  s + h + a + lkl
[4基] shalky  ->  s + h + a + lky
[4基] shalom  ->  s + h + a + lom
[4基] shapchedyfeey  ->  s + ha + pche + dyfeey
[4基] sharal  ->  s + h + a + ral
[4基] sharam  ->  s + h + a + ram
[4基] shckhdchy  ->  s + h + ck + hdchy
[4基] shckhh  ->  s + h + ckh + h
[4基] shckhhd  ->  s + h + ckh + hd
[4基] shckhhy  ->  s + h + ckh + hy
[4基] shcphhy  ->  s + h + cph + hy
[4基] shcthhy  ->  s + h + cth + hy
[4基] shcty  ->  s + h + c + ty
[4基] shdaldy  ->  s + h + da + ldy
[4基] shdalky  ->  s + h + da + lky
[3基] shdykairy  ->  s + h + dykairy
[3基] shdytody  ->  s + h + dytody
[4基] sheckeey  ->  s + h + ec + keey
[4基] sheckh  ->  s + h + e + ckh
[4基] sheckhal  ->  s + h + e + ckhal
[4基] sheckhdy  ->  s + h + e + ckhdy
[4基] sheckhedy  ->  s + h + e + ckhedy
[4基] sheckhey  ->  s + h + e + ckhey
[4基] sheckhy  ->  s + h + e + ckhy
[4基] shecphhdy  ->  s + he + cph + hdy
[4基] shecphy  ->  s + h + e + cphy
[4基] shecthedchy  ->  s + he + cthe + dchy
[4基] shecthedy  ->  s + h + e + cthedy
[4基] shecthey  ->  s + h + e + cthey
[4基] shecthy  ->  s + h + e + cthy
[4基] shectyhy  ->  s + h + ect + yhy
[4基] shedaitain  ->  s + h + eda + itain
[4基] shedaldy  ->  s + h + eda + ldy
[4基] shedchy  ->  s + h + e + dchy
[4基] shedeeey  ->  s + h + e + deeey
[4基] shedefam  ->  s + h + e + defam
[4基] shedey  ->  s + h + e + dey
[4基] shedkedy  ->  s + h + e + dkedy
[4基] shedshey  ->  s + h + e + dshey
[4基] shedykain  ->  s + h + e + dykain
[4基] shedykeyl  ->  s + h + e + dykeyl
[4基] sheeckhey  ->  s + h + ee + ckhey
[4基] sheeckhy  ->  s + h + ee + ckhy
[4基] sheecthey  ->  s + h + ee + cthey
[4基] sheeetchy  ->  s + h + eee + tchy
[4基] sheekchy  ->  s + h + ee + kchy
[4基] sheekeey  ->  s + h + ee + keey
[4基] sheekey  ->  s + h + ee + key
[4基] sheekshy  ->  s + h + ee + kshy
[4基] sheeodees  ->  s + h + ee + odees
[4基] sheeoeky  ->  s + h + ee + oeky
[4基] sheeoldy  ->  s + h + ee + oldy
[4基] sheeolody  ->  s + h + ee + olody
[4基] sheepshey  ->  s + h + ee + pshey
[4基] sheetchy  ->  s + h + ee + tchy
[4基] sheeteey  ->  s + h + ee + teey
[4基] sheetey  ->  s + h + ee + tey
[4基] shefchdy  ->  s + h + e + fchdy
[4基] shefeeedy  ->  s + h + e + feeedy
[4基] shefhedy  ->  s + h + ef + hedy
[4基] shefshoro  ->  s + h + e + fshoro
[4基] shekalchdy  ->  s + h + eka + lchdy
[4基] shekcheor  ->  s + h + e + kcheor
[4基] shekchey  ->  s + h + e + kchey
[4基] shekchy  ->  s + h + e + kchy
[4基] shekealy  ->  s + h + e + kealy
[4基] shekedy  ->  s + h + e + kedy
[4基] shekeefy  ->  s + h + e + keefy
[4基] shekeeody  ->  s + h + e + keeody
[4基] shekeey  ->  s + h + e + keey
[4基] shekeod  ->  s + h + e + keod
[4基] shekey  ->  s + h + e + key
[4基] sheksheet  ->  s + h + e + ksheet
[4基] shekshey  ->  s + h + e + kshey
[4基] shekshol  ->  s + h + e + kshol
[4基] sheockhedy  ->  s + h + e + ockhedy
[4基] sheockhey  ->  s + h + e + ockhey
[4基] sheockhy  ->  s + h + e + ockhy
[4基] sheocphy  ->  s + h + e + ocphy
[4基] sheoctham  ->  s + h + e + octham
[4基] sheocthy  ->  s + h + e + octhy
[4基] sheocty  ->  s + h + eoc + ty
[4基] sheoe  ->  s + h + e + oe
[4基] sheoeed  ->  s + h + e + oeed
[4基] sheoees  ->  s + h + e + oees
[4基] sheoeky  ->  s + h + e + oeky
[4基] sheoikhy  ->  s + h + eoik + hy
[4基] sheokaiin  ->  s + h + e + okaiin
[4基] sheokain  ->  s + h + e + okain
[4基] sheokar  ->  s + h + e + okar
[4基] sheokay  ->  s + h + e + okay
[4基] sheoked  ->  s + h + e + oked
[4基] sheokeedy  ->  s + h + e + okeedy
[4基] sheokeey  ->  s + h + e + okeey
[4基] sheokeol  ->  s + h + e + okeol
[4基] sheokeor  ->  s + h + e + okeor
[4基] sheokey  ->  s + h + e + okey
[4基] sheoky  ->  s + h + e + oky
[4基] sheoldam  ->  s + h + e + oldam
[4基] sheoldy  ->  s + h + e + oldy
[4基] sheolkain  ->  s + h + e + olkain
[4基] sheolkchy  ->  s + h + e + olkchy
[4基] sheolkeal  ->  s + h + e + olkeal
[4基] sheolkedy  ->  s + h + e + olkedy
[4基] sheolkeedy  ->  s + h + e + olkeedy
[4基] sheolkeey  ->  s + h + e + olkeey
[4基] sheolol  ->  s + h + e + olol
[4基] sheolor  ->  s + h + e + olor
[4基] sheolshody  ->  s + h + e + olshody
[4基] sheoltey  ->  s + h + e + oltey
[4基] sheopchy  ->  s + h + e + opchy
[4基] sheotain  ->  s + h + e + otain
[4基] sheotal  ->  s + h + e + otal
[4基] sheotam  ->  s + h + e + otam
[4基] sheotchedy  ->  s + h + e + otchedy
[4基] sheoteoly  ->  s + h + e + oteoly
[4基] sheoty  ->  s + h + e + oty
[4基] shepchdy  ->  s + h + e + pchdy
[4基] shepchedy  ->  s + h + e + pchedy
[4基] shepchol  ->  s + h + e + pchol
[4基] shepchy  ->  s + h + e + pchy
[4基] sheqokam  ->  s + h + e + qokam
[4基] shese  ->  s + h + e + se
[4基] shesed  ->  s + h + e + sed
[4基] shesee  ->  s + h + e + see
[4基] sheseky  ->  s + h + e + seky
[4基] shetch  ->  s + h + e + tch
[4基] shetcheodchs  ->  s + he + tche + odchs
[4基] shetchy  ->  s + h + e + tchy
[4基] sheteal  ->  s + h + e + teal
[4基] shetey  ->  s + h + e + tey
[4基] shetshdy  ->  s + h + e + tshdy
[4基] shetsho  ->  s + h + e + tsho
[4基] sheycthy  ->  s + h + e + ycthy
[4基] sheykaiiin  ->  s + h + e + ykaiiin
[4基] sheykal  ->  s + h + e + ykal
[4基] sheyky  ->  s + h + e + yky
[4基] sheytchdy  ->  s + h + e + ytchdy
[3基] shhy  ->  s + h + hy
[4基] shkakeedy  ->  s + h + ka + keedy
[4基] shkhy  ->  s + h + k + hy
[3基] shlches  ->  s + h + lches
[4基] shoaldy  ->  s + h + oa + ldy
[4基] shockhhy  ->  s + h + ockh + hy
[4基] shocphhy  ->  s + h + ocph + hy
[4基] shocthhy  ->  s + h + octh + hy
[3基] shodypshey  ->  s + h + odypshey
[4基] shoefcheey  ->  s + h + oe + fcheey
[4基] shoekeal  ->  s + h + oe + keal
[4基] shoekey  ->  s + h + oe + key
[4基] shoifhy  ->  s + h + oif + hy
[4基] shoikhy  ->  s + h + oik + hy
[4基] shokalol  ->  s + h + oka + lol
[4基] shokeolls  ->  s + h + oke + olls
[4基] shokocfhy  ->  s + h + ok + ocfhy
[4基] shokog  ->  s + h + ok + og
[4基] sholalam  ->  s + h + ola + lam
[3基] sholeey  ->  s + h + oleey
[3基] sholfaiin  ->  s + h + olfaiin
[3基] sholfchor  ->  s + h + olfchor
[4基] sholfosdaiin  ->  s + h + olf + osdaiin
[3基] sholkair  ->  s + h + olkair
[3基] sholkal  ->  s + h + olkal
[3基] sholkar  ->  s + h + olkar
[3基] sholkeechy  ->  s + h + olkeechy
[3基] sholkeedy  ->  s + h + olkeedy
[3基] sholkshy  ->  s + h + olkshy
[4基] sholschey  ->  s + h + o + lschey
[3基] sholshdy  ->  s + h + olshdy
[3基] sholteol  ->  s + h + olteol
[4基] shopolchedy  ->  s + h + op + olchedy
[3基] shoqoky  ->  s + h + oqoky
[4基] shorqoy  ->  s + h + o + rqoy
[4基] shotokody  ->  s + h + ot + okody
[3基] shoyfar  ->  s + h + oyfar
[3基] shoyty  ->  s + h + oyty
[3基] shseor  ->  s + h + seor
[3基] shses  ->  s + h + ses
[3基] shsky  ->  s + h + sky
[3基] shsopam  ->  s + h + sopam
[3基] shx  ->  s + h + x
[3基] shxam  ->  s + h + xam
[3基] shyokeey  ->  s + h + yokeey
[4基] skaiiodar  ->  s + k + ai + iodar
[4基] soairal  ->  s + o + a + iral
[4基] socfchees  ->  s + o + c + fchees
[4基] sochorcfhy  ->  s + o + c + horcfhy
[4基] socthh  ->  s + o + cth + h
[4基] soefchocphy  ->  s + o + efc + hocphy
[4基] soeokeot  ->  s + o + e + okeot
[4基] soeteed  ->  s + o + e + teed
[2基] soity  ->  s + oity
[2基] solchd  ->  s + olchd
[2基] solchedy  ->  s + olchedy
[2基] solcheol  ->  s + olcheol
[2基] solchey  ->  s + olchey
[2基] solchkal  ->  s + olchkal
[2基] solchyd  ->  s + olchyd
[2基] solcthy  ->  s + olcthy
[4基] soleeg  ->  s + o + lee + g
[2基] solkaiin  ->  s + olkaiin
[2基] solkain  ->  s + olkain
[2基] solkchedy  ->  s + olkchedy
[2基] solkchy  ->  s + olkchy
[2基] solkedy  ->  s + olkedy
[2基] solkeedy  ->  s + olkeedy
[2基] solkeey  ->  s + olkeey
[2基] solkes  ->  s + olkes
[2基] solkey  ->  s + olkey
[2基] solky  ->  s + olky
[2基] solpchd  ->  s + olpchd
[2基] solshed  ->  s + olshed
[2基] solshedy  ->  s + olshedy
[2基] solshey  ->  s + olshey
[2基] solteedy  ->  s + olteedy
[2基] soocth  ->  s + oocth
[4基] soraloaly  ->  s + o + ra + loaly
[2基] sosees  ->  s + osees
[2基] sosoral  ->  s + osoral
[4基] ssheckhy  ->  s + s + he + ckhy
[2基] sshedy  ->  s + shedy
[2基] ssheedal  ->  s + sheedal
[2基] ssheey  ->  s + sheey
[2基] ssheo  ->  s + sheo
[2基] ssheodain  ->  s + sheodain
[2基] ssheol  ->  s + sheol
[2基] sshey  ->  s + shey
[2基] sshkchdy  ->  s + shkchdy
[2基] sshol  ->  s + shol
[2基] sshor  ->  s + shor
[3基] stolpchy  ->  s + t + olpchy
[4基] sydarary  ->  s + y + da + rary
[4基] sykeeeochy  ->  s + y + keee + ochy
[2基] syokeedy  ->  s + yokeedy
[3基] taedaiin  ->  t + a + edaiin
[4基] taikhy  ->  t + a + ik + hy
[3基] taiky  ->  t + a + iky
[3基] taipar  ->  t + a + ipar
[3基] tairoor  ->  t + a + iroor
[3基] talam  ->  t + a + lam
[3基] talar  ->  t + a + lar
[3基] talchos  ->  t + a + lchos
[3基] taldain  ->  t + a + ldain
[3基] taldar  ->  t + a + ldar
[3基] talkl  ->  t + a + lkl
[3基] talody  ->  t + a + lody
[3基] talol  ->  t + a + lol
[3基] talor  ->  t + a + lor
[4基] talshdy  ->  t + a + l + shdy
[3基] taor  ->  t + a + or
[3基] taraiin  ->  t + a + raiin
[3基] tarair  ->  t + a + rair
[3基] tarairy  ->  t + a + rairy
[3基] taral  ->  t + a + ral
[3基] taram  ->  t + a + ram
[3基] tarar  ->  t + a + rar
[3基] tarodaiin  ->  t + a + rodaiin
[3基] tarol  ->  t + a + rol
[3基] taror  ->  t + a + ror
[3基] taros  ->  t + a + ros
[3基] tazain  ->  t + a + zain
[4基] tchalody  ->  t + c + ha + lody
[4基] tchdarol  ->  t + c + hda + rol
[4基] tchdoltdy  ->  t + c + hd + oltdy
[4基] tchede  ->  t + c + he + de
[4基] tcheepchey  ->  t + c + hee + pchey
[4基] tcheoko  ->  t + c + he + oko
[4基] tcheolchy  ->  t + c + he + olchy
[4基] tcheorsho  ->  t + c + he + orsho
[4基] tchoarorshy  ->  t + c + hoa + rorshy
[4基] tchodairos  ->  t + c + hoda + iros
[3基] tchoep  ->  t + c + hoep
[3基] tchokedy  ->  t + c + hokedy
[3基] tchoky  ->  t + c + hoky
[3基] tchokyd  ->  t + c + hokyd
[4基] tcholdchy  ->  t + c + h + oldchy
[4基] tcholkaiin  ->  t + c + h + olkaiin
[3基] tcholol  ->  t + c + holol
[4基] tcholshol  ->  t + c + h + olshol
[3基] tchotchey  ->  t + c + hotchey
[3基] tchotchol  ->  t + c + hotchol
[3基] tchotchor  ->  t + c + hotchor
[3基] tchotshey  ->  t + c + hotshey
[3基] tchtcho  ->  t + c + htcho
[3基] tchykchy  ->  t + c + hykchy
[2基] tdokchcfhy  ->  t + dokchcfhy
[3基] techedy  ->  t + e + chedy
[3基] tedcheo  ->  t + e + dcheo
[3基] tedyol  ->  t + e + dyol
[4基] teedaram  ->  t + e + eda + ram
[4基] teeolain  ->  t + e + e + olain
[4基] teeolteedy  ->  t + e + e + olteedy
[4基] teodarody  ->  t + e + oda + rody
[3基] teodeear  ->  t + e + odeear
[3基] teodeey  ->  t + e + odeey
[3基] teodkaiin  ->  t + e + odkaiin
[4基] teodyteytar  ->  t + e + odyte + ytar
[4基] teolkechey  ->  t + e + olke + chey
[3基] teolkedain  ->  t + e + olkedain
[3基] teolshy  ->  t + e + olshy
[3基] teoteey  ->  t + e + oteey
[4基] teyteg  ->  t + e + yte + g
[2基] theody  ->  t + heody
[4基] toairshy  ->  t + o + a + irshy
[2基] tocheo  ->  t + ocheo
[2基] tochey  ->  t + ochey
[2基] tochody  ->  t + ochody
[2基] tochol  ->  t + ochol
[2基] tochon  ->  t + ochon
[2基] tochso  ->  t + ochso
[2基] tochsy  ->  t + ochsy
[2基] tockhy  ->  t + ockhy
[2基] tocpheey  ->  t + ocpheey
[2基] tocphol  ->  t + ocphol
[2基] tocthey  ->  t + octhey
[2基] tocthy  ->  t + octhy
[4基] todalain  ->  t + o + da + lain
[4基] todaraiily  ->  t + o + da + raiily
[4基] todashx  ->  t + oda + sh + x
[2基] todeeey  ->  t + odeeey
[2基] todky  ->  t + odky
[4基] toealchs  ->  t + o + ea + lchs
[2基] toeedy  ->  t + oeedy
[4基] toeeedchy  ->  t + o + eee + dchy
[4基] toeeodcthy  ->  t + o + ee + odcthy
[2基] toees  ->  t + oees
[4基] toeoky  ->  t + o + e + oky
[2基] tohedy  ->  t + ohedy
[2基] tokain  ->  t + okain
[2基] tokar  ->  t + okar
[2基] tokary  ->  t + okary
[2基] tokol  ->  t + okol
[2基] toky  ->  t + oky
[2基] tolain  ->  t + olain
[2基] tolair  ->  t + olair
[2基] tolchd  ->  t + olchd
[2基] tolchdaiin  ->  t + olchdaiin
[2基] tolchedy  ->  t + olchedy
[2基] tolchor  ->  t + olchor
[2基] tolchory  ->  t + olchory
[2基] told  ->  t + old
[2基] toldal  ->  t + oldal
[2基] toldshy  ->  t + oldshy
[2基] toldy  ->  t + oldy
[2基] toleeshal  ->  t + oleeshal
[2基] tolkain  ->  t + olkain
[2基] tolkal  ->  t + olkal
[2基] tolkchdy  ->  t + olkchdy
[2基] tolkeeedy  ->  t + olkeeedy
[2基] tolkeol  ->  t + olkeol
[2基] tolkey  ->  t + olkey
[2基] tolkshey  ->  t + olkshey
[2基] tolm  ->  t + olm
[2基] tolokeedy  ->  t + olokeedy
[2基] tolol  ->  t + olol
[2基] tolor  ->  t + olor
[2基] tolos  ->  t + olos
[2基] tolpchy  ->  t + olpchy
[2基] tolsasy  ->  t + olsasy
[2基] tolsheo  ->  t + olsheo
[2基] tolsheol  ->  t + olsheol
[2基] tolshey  ->  t + olshey
[2基] tolshosor  ->  t + olshosor
[2基] tolshy  ->  t + olshy
[2基] tolteedy  ->  t + olteedy
[2基] topaiin  ->  t + opaiin
[2基] torain  ->  t + orain
[2基] torchey  ->  t + orchey
[2基] torchy  ->  t + orchy
[4基] torolshsdy  ->  t + o + r + olshsdy
[2基] toror  ->  t + oror
[2基] torshor  ->  t + orshor
[3基] tosh  ->  t + o + sh
[3基] tosheo  ->  t + o + sheo
[3基] toshey  ->  t + o + shey
[3基] toshy  ->  t + o + shy
[2基] totchy  ->  t + otchy
[2基] totol  ->  t + otol
[4基] tshdcsey  ->  t + s + hdc + sey
[4基] tshedky  ->  t + s + he + dky
[4基] tsheoarom  ->  t + s + heoa + rom
[4基] tsheokeedy  ->  t + s + he + okeedy
[2基] tshodeesy  ->  t + shodeesy
[2基] tshodpy  ->  t + shodpy
[2基] tshokeody  ->  t + shokeody
[2基] tshoky  ->  t + shoky
[2基] tsholdy  ->  t + sholdy
[2基] tsholol  ->  t + sholol
[2基] typchey  ->  t + ypchey
[3基] xaloeees  ->  x + a + loeees
[4基] ychealod  ->  y + c + hea + lod
[4基] ycheckhey  ->  y + c + he + ckhey
[4基] ychecthy  ->  y + c + he + cthy
[4基] ycheealkaiin  ->  y + c + heea + lkaiin
[4基] ycheeckhy  ->  y + c + hee + ckhy
[4基] ycheekeey  ->  y + c + hee + keey
[4基] ycheeytal  ->  y + c + hee + ytal
[4基] ycheeytydaiin  ->  y + c + hee + ytydaiin
[4基] ychekchy  ->  y + c + he + kchy
[4基] ycheochy  ->  y + c + he + ochy
[4基] ycheockhy  ->  y + c + he + ockhy
[4基] ycheoky  ->  y + c + he + oky
[4基] ycheoraiin  ->  y + c + he + oraiin
[4基] ycheoto  ->  y + c + he + oto
[4基] ychockaey  ->  y + choc + ka + ey
[3基] ychockhy  ->  y + c + hockhy
[3基] ychocthy  ->  y + c + hocthy
[3基] ychoees  ->  y + c + hoees
[4基] ychoopy  ->  y + c + h + oopy
[4基] ychopordg  ->  y + c + hop + ordg
[3基] ychykchy  ->  y + c + hykchy
[3基] ycseol  ->  y + c + seol
[4基] ydag  ->  y + d + a + g
[4基] ydairol  ->  y + d + a + irol
[4基] ydaraishy  ->  y + da + ra + ishy
[4基] ydaral  ->  y + d + a + ral
[4基] ydarchom  ->  y + d + a + rchom
[3基] yekedy  ->  y + e + kedy
[3基] yekees  ->  y + e + kees
[3基] yekey  ->  y + e + key
[3基] yfolaiin  ->  y + f + olaiin
[3基] yfoldy  ->  y + f + oldy
[4基] ykaipy  ->  y + k + a + ipy
[4基] ykairaiin  ->  y + k + a + iraiin
[4基] ykairolky  ->  y + k + air + olky
[4基] ykaky  ->  y + k + a + ky
[4基] ykald  ->  y + k + a + ld
[4基] ykaldy  ->  y + k + a + ldy
[4基] ykalkain  ->  y + k + a + lkain
[4基] ykalokain  ->  y + k + a + lokain
[4基] ykanam  ->  y + k + an + am
[4基] ykarain  ->  y + k + a + rain
[4基] ykaras  ->  y + k + a + ras
[4基] ykarshy  ->  y + k + ar + shy
[4基] ykchdg  ->  y + k + c + hdg
[4基] ykcheg  ->  y + k + che + g
[4基] ykchhdy  ->  y + k + ch + hdy
[4基] ykchochdy  ->  y + k + c + hochdy
[4基] ykchokeo  ->  y + k + c + hokeo
[4基] ykcholqod  ->  y + k + cho + lqod
[4基] ykchotchy  ->  y + k + c + hotchy
[4基] ykchscheg  ->  y + kch + sche + g
[4基] ykcsedy  ->  y + k + c + sedy
[4基] ykechey  ->  y + k + e + chey
[4基] ykecsey  ->  y + k + ec + sey
[4基] ykecthhy  ->  y + ke + cth + hy
[4基] ykedckhy  ->  y + k + e + dckhy
[4基] ykeealar  ->  y + k + eea + lar
[4基] ykeealkey  ->  y + k + eea + lkey
[4基] ykeeeedaiir  ->  y + k + e + eeedaiir
[4基] ykeeochody  ->  y + k + ee + ochody
[4基] ykeeodey  ->  y + k + ee + odey
[4基] ykeeshedy  ->  y + k + ee + shedy
[4基] ykeeykeey  ->  y + k + ee + ykeey
[4基] ykeockhey  ->  y + k + e + ockhey
[4基] ykeoees  ->  y + k + e + oees
[4基] ykeoeshy  ->  y + k + e + oeshy
[4基] ykeolal  ->  y + k + e + olal
[4基] ykeoldy  ->  y + k + e + oldy
[4基] ykeoshe  ->  y + k + eo + she
[4基] ykesheo  ->  y + k + e + sheo
[4基] ykesodarar  ->  y + ke + soda + rar
[3基] ykhey  ->  y + k + hey
[3基] ykhody  ->  y + k + hody
[3基] ykhor  ->  y + k + hor
[3基] ykhy  ->  y + k + hy
[4基] ykledey  ->  y + k + le + dey
[3基] ykocfhy  ->  y + k + ocfhy
[3基] ykoear  ->  y + k + oear
[3基] ykofar  ->  y + k + ofar
[3基] ykolaiin  ->  y + k + olaiin
[4基] ykolairol  ->  y + k + ola + irol
[3基] ykoldam  ->  y + k + oldam
[3基] ykoldy  ->  y + k + oldy
[3基] ykolody  ->  y + k + olody
[3基] ykoloin  ->  y + k + oloin
[3基] ykolor  ->  y + k + olor
[3基] ykooar  ->  y + k + ooar
[3基] ykychy  ->  y + k + ychy
[3基] ykyka  ->  y + k + yka
[3基] ykykaiin  ->  y + k + ykaiin
[3基] ykyral  ->  y + k + yral
[4基] yoeteey  ->  y + o + e + teey
[4基] yokalod  ->  y + o + ka + lod
[2基] yolkol  ->  y + olkol
[2基] yolsheey  ->  y + olsheey
[4基] ypchedpy  ->  y + p + che + dpy
[4基] ypcheg  ->  y + p + che + g
[4基] ypchocfy  ->  y + p + choc + fy
[4基] ypchocpheosaiin  ->  y + p + c + hocpheosaiin
[4基] ypcholdy  ->  y + p + c + holdy
[4基] ypchseds  ->  y + p + ch + seds
[3基] yphoo  ->  y + p + hoo
[3基] ypolcheey  ->  y + p + olcheey
[3基] ypolol  ->  y + p + olol
[4基] ypsharal  ->  y + p + sha + ral
[3基] yroleeey  ->  y + r + oleeey
[4基] ysaldal  ->  y + s + a + ldal
[4基] ysarasod  ->  y + sa + ra + sod
[2基] yshain  ->  y + shain
[2基] yshar  ->  y + shar
[2基] yshchey  ->  y + shchey
[2基] yshdain  ->  y + shdain
[2基] yshdal  ->  y + shdal
[2基] yshe  ->  y + she
[2基] ysheal  ->  y + sheal
[4基] yshealdy  ->  y + s + hea + ldy
[4基] yshealkair  ->  y + s + hea + lkair
[2基] yshear  ->  y + shear
[2基] yshedaiin  ->  y + shedaiin
[2基] yshedair  ->  y + shedair
[2基] yshedy  ->  y + shedy
[2基] ysheed  ->  y + sheed
[2基] ysheedal  ->  y + sheedal
[2基] ysheedy  ->  y + sheedy
[2基] ysheees  ->  y + sheees
[2基] ysheeo  ->  y + sheeo
[2基] ysheeoaiin  ->  y + sheeoaiin
[2基] ysheeod  ->  y + sheeod
[2基] ysheeody  ->  y + sheeody
[2基] yshees  ->  y + shees
[2基] ysheey  ->  y + sheey
[2基] ysheo  ->  y + sheo
[2基] ysheoar  ->  y + sheoar
[4基] ysheockhy  ->  y + s + he + ockhy
[2基] ysheod  ->  y + sheod
[2基] ysheody  ->  y + sheody
[2基] ysheol  ->  y + sheol
[2基] ysheor  ->  y + sheor
[2基] ysheos  ->  y + sheos
[2基] yshesos  ->  y + shesos
[2基] yshesy  ->  y + shesy
[2基] yshey  ->  y + shey
[2基] ysho  ->  y + sho
[2基] yshoain  ->  y + shoain
[2基] yshoiin  ->  y + shoiin
[2基] yshol  ->  y + shol
[4基] ysholshy  ->  y + s + h + olshy
[2基] yshor  ->  y + shor
[2基] yshos  ->  y + shos
[2基] yshs  ->  y + shs
[2基] yshy  ->  y + shy
[4基] yskhy  ->  y + s + k + hy
[4基] ytaipom  ->  y + t + a + ipom
[4基] ytairal  ->  y + t + a + iral
[4基] ytalar  ->  y + t + a + lar
[4基] ytalchos  ->  y + t + a + lchos
[4基] ytalody  ->  y + t + a + lody
[4基] ytapy  ->  y + t + a + py
[4基] ytarar  ->  y + t + a + rar
[4基] ytarem  ->  y + t + a + rem
[4基] ytarody  ->  y + t + a + rody
[4基] ytasal  ->  y + t + a + sal
[4基] ytashy  ->  y + t + a + shy
[4基] ytchcseey  ->  y + t + chc + seey
[4基] ytcheodytor  ->  y + t + che + odytor
[4基] ytchoky  ->  y + t + c + hoky
[3基] ytdg  ->  y + t + dg
[4基] yteched  ->  y + t + e + ched
[4基] ytecheol  ->  y + t + e + cheol
[4基] ytedshedy  ->  y + t + e + dshedy
[4基] ytedykor  ->  y + t + e + dykor
[4基] yteechypchy  ->  y + t + eec + hypchy
[4基] yteeoey  ->  y + t + ee + oey
